asap,as soon as possible
aka,also known as
btw,by the way
omg,oh my god
pm,private message
idk,I don't know
lol,laughing out loud
rofl,rolling on floor laughing
lmao,laughing my ass off
ty,thank you
np,no problem
wtg,way to go
bf,boyfriend
gf,girfriend
gj,good job
bff,best friend forever
gr8,great
dr.,doctor
ama,against medical advice
md,medical doctor
dr,doctor
otc,over the counter
fyi,for your information
dob,date of birth
pls,please
gp,general practitioner
gmo,genetically modified organism